"宅通","たくつう","自宅から大学に通う人々のこと。TX利用者が多い。終電を気にしつつ、早起きが必須条件など、多くの悲しみを背負い生きるため、俗に多苦痛とも呼ばれる。","筑波大での独自のスラングというわけでもなく、他大学でも通じる事がある。"
"TWINS","ついんず","筑波大学の教育情報システム。履修登録や成績確認などの際に使用する。",""
"筑波時間","つくばじかん","筑波大生の歪んだ時間感覚によって生み出された、架空の標準時。日本標準時-3時間とされる（すなわち、東京の11時はつくばではまだ8時）。弊害として、多くの学生が絶起に悩まされる。",""
"つくばっく","つくばっく","帰省からつくばに戻ってきた学生がよく発する言葉。その理由として、実家での生活とつくばでの生活のギャプを直視できず、一度心を落ち着かせるためだと言われている。帰省に限らず一時的につくばを離れる際に用いられることもある。","対義語: つくばいばい"
"TX","てぃーえっくす","つくばエクスプレスの略。つくばー秋葉原間を結ぶ鉄道路線。多くの宅通民を支える交通機関だが、守谷止まりの下り列車の多さから「守谷エクスプレス」とも呼ばれる。",""
"TRIAL","とらいある","研究学園にある総合スーパー。宿舎やアパートでの日常生活で必要なもののほぼすべてが販売されている。値段が安いことからよく行く人も多い。一部の生活家電も販売されている。",""
"の矢","のや","一の矢学生宿舎の略称。",""
"博士号","はくしごう","①博士課程を修了した場合に授与されるもの。②松美池にひっそりと佇むアヒルボートのこと。いつ、誰によって、誰のために設置されたのかは定かではない。","博士号を松美池で乗り回すと除籍になるという噂がある。"
"東大通り","ひがしおおどおり","大学の東側を走る幹線道路。","「とうだいどおり」ではない。"
"百ロー","ひゃくろー","100円ローソンの略。天久保2丁目にある。",""
"平カス","ひらかす","平砂学生宿舎の近くにあるスーパー「カスミ筑波大学店」の通称。営業時間が日によって変わる。日曜日や休業期間中は営業していない事があるため、注意が必要。","「カス」は蔑称ではない。"
"平共","ひらきょう","平砂共用棟の略称。中には浴場や食堂がある。",""
"平砂","ひらすな","①平砂学生宿舎の略称、俗に独房とも言われる。②平砂学生宿舎の周辺のエリア。やどかり祭はここで実施される。",""
"平砂トンネル","ひらすなとんねる","ループ道路を潜って、平砂と春日4丁目を連絡する短いトンネル。",""
"ファセミ","ふぁせみ","1年次必修科目「ファーストイヤーセミナー」の略称。「ファイヤー」とも略される。2022年度から開講されているので略称が定まっていない。","過去には「フレッシュマンセミナー」という名前で開講されており、「フレセミ」と略されていた。"
"ブッチ","ぶっち","授業をサボること。主に、1限に多く見られる。","一般的には、ブッチ率と落単率は比例関係にあるとされる。"
"文サ連","ぶんされん","文化系サークル連合会の略称。",""
"ペデ","ぺで","ペデストリアンデッキの略称。赤塚公園からつくば駅前を経由し、一の矢学生宿舎を結ぶ歩行者優先通路。授業間の移動の際は多くの自転車がペデ上を走行するため、正直歩行者には不向き。",""
"ほけかん","ほけかん","「保健管理センター」の略称。CEGLOCの近くにあり、簡単な治療や応急処置を施してくれる。","以前は無料だったようだが、現在は有料。"
"補食室","ほしょくしつ","宿舎の共用キッチン部分のこと。流しとコンロがある。使用した調理器具はすぐに片付ける必要がある。",""
"本学","ほんがく","春日エリアを除く筑波キャンパスの敷地のこと。","春日エリアを本拠地とする学類所属者の一部には、「春日こそ本学」と主張する人もいる。"
"松美池","まつみいけ","一学から大学会館方面へペデを通ると、左手に見える大きな池。","松見池ではない。"
"窓","まど","①光や外気を取り入れるために、建物に備え付けられた開口部。②俗にWindowsを指す。アップデートが大好きな割には、「あともう少しです」が口癖。","3C206の機室に常備されているが、起動が異様に遅いため、3C113または3C205のMacがおすすめ。"
"manaba","まなば","筑波大学が導入している学習管理システム。授業資料や講義動画の閲覧、課題提出などの際に使用する。",""
"名店街","めいてんがい","第三エリアにある食堂の通称。3A棟1階の中央図書館側にある。ラーメン屋やうどん屋、パン屋などの飲食店が集まる。",""
"メーリス","めーりす","メーリングリストの略。",""
"メディセン","めでぃせん","天久保1丁目にある「つくばメディカルセンター」の略。","お世話にならないように健康でいましょう。"
"やど祭","やどさい","やどかり祭の通称。宿舎祭とも呼ばれる。春学期に平砂で行われる小規模な祭り。",""
"ゆ","ゆ","揺れを感じた時に、筑波大生がTwitterに投稿する文言。「揺れた」の意。多くの場合、揺れの原因は地震。","疑問系になったり、「ゆゆゆ」のように複数回繰り返されたりする場合もある。"
"ゆかコン嬢","ゆかこんじょう","ゆかコンに出場する人のこと。",""
"浴衣コンテスト","ゆかたこんてすと","学類対抗で出場者が浴衣を着用し、その美しさとパフォーマンスで優勝を競うイベント。通称は「ゆかコン」。",""
"ラーメンフェスタ","らーめんふぇすた","秋ごろ、研究学園駅前に県内外から様々なラーメン屋が集結するイベント。","ラーメンフェスタもあるように、筑波大学周辺はラーメン屋が多い。"
"ラウンジ","らうんじ","学生が自由に利用できる部屋。情報科学類ラウンジは3C棟にある。自習をしたりノートPCで作業をしている人が多い。",""
"落単","らくたん","単位を落とすこと。落単理由としては、出席不足・試験問題が解けないなど。",""
"楽単","らくたん","単位取得が容易な科目なこと。先輩に聞くと教えてもらえるかもしれない。","文脈に応じて、「落単」と「楽単」をきちんと区別する必要がある。"
"RanRan","らんらん","BIG丼というかなりボリュームある丼で有名なお店。食べる日は、かなりお腹を空かせているときでないと完食できない。",""
"ループ","るーぷ","筑波大学の構内を環状に走る道路。循環バスや、大学関係者以外の一般の車も走行している。",""
