名称,よみがな,説明,補足
清六,せいろく,「清六家」の略称。大学会館付近にある家系ラーメン屋。24時間365日営業しているので、深夜にお腹が空いても大丈夫。一番混む時間は他の店のLOが過ぎ始めた22時ぐらいだが、なぜか26-28時にも店が満席になることがあるらしい。,
絶起,ぜっき,「絶望の起床」の略称。明らかに講義に間に合わない時間に起きること。絶起した人間は神のお告げを受けることがある。お告げを受けたとしても遅刻していった方がよいということもある。,自主休講
全休,ぜんきゅう,平日で授業が何も入っていない日を指す。遊ぶも課題をやるも寝るも働くも自由。,
全代会,ぜんだいかい,全学学類・専門学群・総合学域群代表者会議の略称。詳しくは第6章へ。,
雙峰祭,そうほうさい,筑波大学の学園祭。学園祭実行委員会によって運営されている。やど祭とは異なり前後が休講になる。,実委
体育会,たいいくかい,文サ連、芸サ連と合わせて三系と呼ばれる。,体育系サークル連合会の略ではない。
体専,たいせん,体育専門学群の略称。,
体バチ,たいばち,5C棟正面左にあるガラス張りの大きな机と椅子が大量に並んだラウンジのこと。「バチ」というのは全面ガラス張りで金魚鉢のように見えることから。,芸バチ
宅通,たくつう,「自宅通学」の略称。実家から自宅通学する人を指す。朝起きる時間と終電を常に気にしなければならない。「多苦痛」という字があてられることもある。他大学の人間にはほとんど伝わらない。,
脱獄,だつごく,宿舎から退居すること。,
チャリ,ちゃり,自転車の俗語。つくばでは「人権」とも呼ばれる。,
つくばいばい,つくばいばい,つくばで一人暮らしをしている人がつくばから離れる際に言う言葉。,つくばっく
つくばっく,つくばっく,つくばいばいした人がつくばに戻ってくる際に言う言葉。,つくばいばい
丁寧な暮らし,ていねいなくらし,健康で文化的な生活を営むこと。自炊をするとこれを送ることができると言われている。,
図情大,とじょうだい,「図書館情報大学」の略称。,
図書館情報大学,としょかんじょうほうだいがく,「あらゆる知識・情報を一堂に集積し、これを活用することは人類の永い夢であり、理想であった。」2004年に惜しまれつつも閉学。,お墓
なべしき,なべしき,主に「履修要覧」のことを指す。その厚さからこう呼ばれる。年度初めに配られていた「開設授業科目一覧」のことを指すこともある。「開設授業科目一覧」は23生の代からPDFのみでの配布になった。,
二外,にがい,第二外国語の略称。情報科学類は履修しなくても卒業できる。中途半端に履修登録すると痛い目を見るとの噂。履修する覚悟のある者だけ履修しよう。,
二食,にしょく,「二学食堂」の略称。詳しくは第12章へ。,
ヌルポ,ぬるぽ,ｶﾞｯ「NullPointerException」の略称。Javaで起こるエラー表示。同様のエラーは様々な言語にある。,
寝ブッチ,ねぶっち,寝坊によって授業や約束を反故にすること。,絶起
のや（一の矢）,のや（いちのや）,筑波大学の北の果てにある「一の矢学生宿舎」の略称。,
のや（松のや）,のや（まつのや）,主にとんかつを提供する飲食店「松のや」の略称。近隣に位置する、うなぎを提供する「松乃家」とは異なる。,
博士号,はくしごう,①博士後期課程を修了した場合に授与される学位。②松美池にひっそりと佇むアヒルボートのこと。いつ、だれによって、誰のために設置されたのかは定かではない。,博士号を松美池で乗り回すと除籍になるという噂がある。
ば号,ばごう,つくば号の略称。詳しくは第10章へ。,
東大通り,ひがしおおどおり,大学の東側にある幹線道路。,決して「とうだいどおり」ではない。
百ロー,ひゃくろー,「100円ローソン」の略称。,
平カス,ひらかす,平砂学生宿舎の近くにあるスーパー「カスミ筑波大学店」の通称。営業時間が日によって変わる。日曜日や休業期間中は営業していないことがあるため、注意が必要。詳しくは第13章へ。,「カス」は決して蔑称ではない。決して。
平砂,ひらすな,平砂学生宿舎とその周辺地域を指す言葉。,
平トン,ひらとん,「平砂トンネル」の略称。平砂学生宿舎と春4をつなぐ短いトンネル。,
ファセミ,ふぁせみ,「ファーストイヤーセミナー」の略称。1年生の必修科目。ここで聞ける話を熱心に聞いておくといいことがあるかもしれない。落単して2年生で履修することになると「セカンドイヤーセミナー」になるとの噂。,
文サ連,ぶんされん,文化系サークル連合会の略称。体育会、芸サ連と合わせて三系と呼ばれる。,
ペデ,ぺで,「ペデストリアンデッキ」の略称。つくば駅と一の矢を繋ぐ筑波大学を南北に縦断している道。ペデストリアンと言いつつ、自転車の通行路になっている。,
ほけかん,ほけかん,「保健管理センター」の略称。CEGLOCの近くにあり、年度初めの健康診断でお世話になる。,
捕食室,ほしょくしつ,宿舎の各棟に設置されている調理場のこと。ガスコンロや給湯器などがある。詳しくは第7章へ。,
本学,ほんがく,春日エリアを除く筑波キャンパスの敷地のこと。,春日エリアを本拠地とする学類に所属する人には「春日こそ本学」と主張する人もいる。
松美池,まつみいけ,ペデを第一エリアから大学会館方面へ通るときに左手に見える大きな池。,
ミューズガーデン,みゅーずがーでん,体芸エリアの裏に存在する庭。ライブやパーティなど様々なイベントに使われる。一時期雑草駆除のためにヤギがいたとの噂。,
無線LAN,むせんらん,Wi-Fi も無線LANの一つ。筑波大学には主に4つの無線LANが張られている.,utwlan-w・utwlan-x・eduroam・coins-wireless
メーリス,めーりす,「メーリングリスト」の略称。メーリングリストとは一斉にメールを送信するときに使用する宛先一覧のこと。,
モジュール,もじゅーる,筑波大学が導入している謎システム。学期ごとにA、B、Cモジュールがあり、学期と合わせて6ターム制を実現している。,詳しくは第3章へ。
やど祭,やどさい,「やどかり祭」の略称。宿舎祭とも呼ばれる。春学期に平砂で行われる小規模な祭り。大学公式のイベントではなかったり。,やど祭マジックで消してやるのさ
ゆ,ゆ,地震の揺れを感じた時にX(旧Twitter)に投稿される言葉。「揺れた」の意。疑問形になったり、文字数が変わったりする。,
ゆかコン,ゆかこん,「浴衣コンテスト」の略称。やど祭で開かれる。出場者が浴衣を着用し、その美しさとパフォーマンスで優勝を競うイベント。,
四学,よんがく,第四学群の略称。ところで第四学群って……？,
ラウンジ,らうんじ,学生が自由に利用できる部屋。情報科学類ラウンジは3C棟（3C113）にある。ディスプレイやプロジェクター、ホワイトボード、自販機などがあり、自習をしたりノートPCで作業をしている人が多い。サークル活動や小規模なイベントで使用することもできる。,
楽単,らくたん,単位取得が容易な科目のこと。先輩に聞くと教えてもらえるかもしれない。,「楽単」と「落単」を聞き間違えるとひどい目に合う。
落単,らくたん,単位を落とすこと。落単理由としては出席不足、課題未提出、試験問題が解けない、試験に行かない、試験の存在を知らない、など様々。,
陸の孤島,りくのことう,TX開通以前は東京との交通網がば号しかなかったことからこう呼ばれた。,
ループ,るーぷ,「ループ道路」の略称。筑波大学の構内を環状に走る道路。自転車をはじめとして、循環バスや大学関係者、一般車が利用している。,
老害,ろうがい,サークルや学生団体で執行代を終えた後に口や手を過剰に出す先輩を指す。,本人の前では言わないようにしよう。
ワ部屋,わべや,「WORD部屋」の略称。wordian達が時間を問わず作業している部屋。ここに住んでいる人がいるとかいないとか……？それはともかくとして24時間明かりはついている。,
